Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
30-Jun-22,EQ,"17,499.05","17,568.80","17,234.20","17,499.05","17,301.05","17,470.00","17,446.47","20,609.15","16,000.00",102842,"1,79,42,29,727.20",31468
29-Jun-22,EQ,"17,350.00","17,525.00","17,252.30","17,403.90","17,519.95","17,499.05","17,454.49","20,609.15","16,000.00",96972,"1,69,25,96,763.50",21788
28-Jun-22,EQ,"17,300.00","17,499.85","17,051.00","17,358.25","17,395.00","17,403.90","17,295.16","20,609.15","16,000.00",52224,"90,32,22,642.60",14265
27-Jun-22,EQ,"17,350.00","17,407.20","17,182.70","17,231.65","17,400.00","17,358.25","17,320.46","20,609.15","16,000.00",63842,"1,10,57,72,789.70",14421
24-Jun-22,EQ,"16,950.05","17,250.00","16,922.05","16,976.30","17,222.90","17,231.65","17,167.45","20,609.15","16,000.00",30380,"52,15,47,107.90",8569
23-Jun-22,EQ,"16,820.00","17,044.95","16,700.00","16,775.15","16,955.00","16,976.30","16,934.87","20,609.15","16,000.00",31675,"53,64,12,150.75",10782
22-Jun-22,EQ,"16,950.00","16,950.00","16,585.55","16,971.80","16,740.00","16,775.15","16,742.27","20,609.15","16,000.00",52364,"87,66,92,295.05",16143
21-Jun-22,EQ,"16,980.00","17,200.00","16,860.00","16,967.10","16,950.00","16,971.80","17,037.47","20,609.15","16,000.00",55631,"94,78,11,491.70",13070
20-Jun-22,EQ,"16,700.00","17,022.95","16,537.55","16,642.40","16,914.90","16,967.10","16,914.44","20,609.15","16,000.00",48902,"82,71,49,981.75",14000
17-Jun-22,EQ,"16,848.00","16,854.95","16,435.00","16,874.00","16,609.90","16,642.40","16,668.51","20,609.15","16,000.00",145619,"2,42,72,52,236.30",29555
16-Jun-22,EQ,"16,949.00","16,949.00","16,614.95","16,802.30","16,887.00","16,874.00","16,796.95","20,609.15","16,000.00",80754,"1,35,64,20,788.65",18207
15-Jun-22,EQ,"17,065.00","17,065.00","16,660.00","16,871.45","16,718.00","16,802.30","16,768.10","20,609.15","16,000.00",64753,"1,08,57,84,597.70",13086
14-Jun-22,EQ,"16,856.50","17,100.00","16,760.00","16,854.45","16,874.95","16,871.45","16,903.56","20,609.15","16,000.00",66081,"1,11,70,03,919.55",12949
13-Jun-22,EQ,"16,690.00","16,969.80","16,540.00","16,774.90","16,856.50","16,854.45","16,809.65","20,609.15","16,000.00",118464,"1,99,13,38,349.65",25341
10-Jun-22,EQ,"16,661.00","16,872.50","16,536.80","16,768.15","16,767.00","16,774.90","16,751.00","20,609.15","16,000.00",44810,"75,06,12,104.80",10749
09-Jun-22,EQ,"16,680.20","16,824.95","16,485.05","16,723.75","16,780.00","16,768.15","16,707.39","20,609.15","16,000.00",28748,"48,03,04,099.20",10398
08-Jun-22,EQ,"16,630.50","16,760.00","16,446.55","16,746.90","16,750.10","16,723.75","16,652.03","20,609.15","16,000.00",81636,"1,35,94,05,075.65",16442
07-Jun-22,EQ,"16,850.05","16,999.55","16,610.00","16,996.90","16,700.05","16,746.90","16,701.02","20,609.15","16,000.00",50762,"84,77,77,399.15",15089
06-Jun-22,EQ,"17,171.00","17,236.80","16,953.10","17,171.00","17,000.00","16,996.90","17,021.43","20,609.15","16,000.00",36001,"61,27,88,413.10",10579
03-Jun-22,EQ,"17,563.00","17,567.35","17,125.60","17,393.80","17,173.10","17,171.00","17,243.67","20,609.15","16,000.00",52686,"90,85,00,051.20",14744
02-Jun-22,EQ,"17,240.00","17,476.35","17,020.05","17,241.55","17,391.95","17,393.80","17,337.84","20,609.15","16,000.00",68899,"1,19,45,60,172.95",22291
01-Jun-22,EQ,"17,580.00","17,848.45","17,180.10","17,691.50","17,250.00","17,241.55","17,435.31","20,609.15","16,000.00",58247,"1,01,55,54,228.50",17280
31-May-22,EQ,"17,705.05","18,157.60","17,457.00","17,706.90","17,699.95","17,691.50","17,812.17","20,609.15","16,000.00",359537,"6,40,41,32,423.45",47685
30-May-22,EQ,"17,700.00","17,986.90","17,634.85","17,641.05","17,770.05","17,706.90","17,834.52","20,609.15","16,000.00",52058,"92,84,29,592.05",16380
27-May-22,EQ,"17,750.00","17,826.95","17,487.20","17,652.50","17,625.65","17,641.05","17,625.87","20,609.15","16,000.00",42527,"74,95,75,218.70",17223
26-May-22,EQ,"17,435.00","17,730.00","17,321.45","17,283.75","17,680.00","17,652.50","17,530.96","20,609.15","16,000.00",105581,"1,85,09,36,268.60",34746
25-May-22,EQ,"17,280.00","17,586.00","17,203.45","17,187.10","17,400.00","17,283.75","17,410.41","20,609.15","16,000.00",81501,"1,41,89,65,731.00",23612
24-May-22,EQ,"17,149.00","17,278.30","16,853.10","16,994.30","17,135.05","17,187.10","17,137.23","20,609.15","16,000.00",92410,"1,58,36,51,208.85",19539
23-May-22,EQ,"17,059.95","17,370.00","16,911.30","16,862.00","17,050.00","16,994.30","17,094.98","20,609.15","16,000.00",103173,"1,76,37,40,694.65",26239
20-May-22,EQ,"16,321.00","16,960.00","16,250.05","16,094.25","16,769.00","16,862.00","16,776.14","20,609.15","16,000.00",152477,"2,55,79,76,003.00",32467
19-May-22,EQ,"16,170.00","16,244.95","16,000.00","16,343.60","16,130.00","16,094.25","16,086.78","20,609.15","16,000.00",70502,"1,13,41,50,210.85",26863
18-May-22,EQ,"16,323.40","16,418.35","16,212.00","16,323.40","16,330.00","16,343.60","16,330.43","20,609.15","16,126.75",96009,"1,56,78,68,442.55",28760
17-May-22,EQ,"16,390.00","16,390.00","16,164.65","16,218.85","16,325.00","16,323.40","16,315.29","20,609.15","16,126.75",86305,"1,40,80,91,428.35",20183
16-May-22,EQ,"16,502.00","16,520.00","16,134.45","16,402.95","16,200.75","16,218.85","16,239.93","20,609.15","16,126.75",52483,"85,23,20,120.35",16576
13-May-22,EQ,"16,490.00","16,562.30","16,304.90","16,220.00","16,380.90","16,402.95","16,428.08","20,609.15","16,126.75",55439,"91,07,56,374.30",19532
12-May-22,EQ,"16,484.50","16,484.50","16,126.75","16,512.40","16,225.00","16,220.00","16,225.04","20,609.15","16,126.75",71776,"1,16,45,68,687.05",24000
11-May-22,EQ,"16,520.60","16,639.10","16,234.90","16,520.60","16,501.00","16,512.40","16,438.42","20,609.15","16,234.90",61787,"1,01,56,80,686.40",24721
10-May-22,EQ,"16,640.00","16,680.00","16,401.00","16,504.35","16,560.00","16,520.60","16,531.08","20,609.15","16,401.00",67177,"1,11,05,08,270.60",23546
09-May-22,EQ,"16,993.45","17,055.30","16,450.00","16,995.45","16,510.90","16,504.35","16,623.14","20,609.15","16,450.00",115147,"1,91,41,04,897.10",29195
06-May-22,EQ,"17,499.80","17,599.70","16,975.00","17,603.75","17,015.00","16,995.45","17,138.33","20,609.15","16,272.65",89997,"1,54,23,97,875.00",27064
05-May-22,EQ,"18,310.15","18,378.40","17,506.00","18,087.75","17,565.05","17,603.75","17,753.25","20,609.15","16,272.65",63313,"1,12,40,11,341.25",23363
04-May-22,EQ,"18,281.10","18,472.10","17,970.65","18,440.55","18,123.75","18,087.75","18,168.31","20,609.15","16,272.65",60857,"1,10,56,68,791.80",21038
02-May-22,EQ,"18,269.00","18,480.00","18,210.00","18,330.30","18,352.70","18,440.55","18,351.72","20,609.15","16,272.65",41597,"76,33,76,323.95",13078
29-Apr-22,EQ,"18,410.00","18,665.60","18,265.80","18,427.70","18,301.15","18,330.30","18,473.71","20,609.15","16,255.00",63398,"1,17,11,96,086.25",19091
28-Apr-22,EQ,"18,238.50","18,534.80","18,175.05","18,223.00","18,356.00","18,427.70","18,418.28","20,609.15","16,255.00",78958,"1,45,42,70,312.45",20095
27-Apr-22,EQ,"18,152.00","18,465.70","18,150.00","18,415.75","18,220.00","18,223.00","18,304.64","20,609.15","16,255.00",67430,"1,23,42,81,538.25",18185
26-Apr-22,EQ,"18,300.00","18,544.20","18,200.00","18,174.70","18,420.00","18,415.75","18,368.74","20,609.15","16,255.00",70593,"1,29,67,04,312.25",22117
25-Apr-22,EQ,"17,900.00","18,350.00","17,850.10","18,187.75","18,226.00","18,174.70","18,117.27","20,609.15","16,255.00",84507,"1,53,10,36,103.00",17311
22-Apr-22,EQ,"18,040.10","18,249.45","17,832.10","18,202.95","18,184.30","18,187.75","18,066.68","20,609.15","16,255.00",108707,"1,96,39,74,125.10",18939
21-Apr-22,EQ,"18,051.00","18,567.90","17,751.00","18,305.20","18,175.00","18,202.95","18,152.06","20,609.15","16,255.00",185341,"3,36,43,20,558.05",41982
20-Apr-22,EQ,"18,198.90","18,418.95","17,989.95","17,948.60","18,273.30","18,305.20","18,277.14","20,609.15","16,255.00",88177,"1,61,16,23,005.70",19595
19-Apr-22,EQ,"18,540.50","18,725.00","17,832.25","18,561.50","18,150.00","17,948.60","18,257.73","20,609.15","16,255.00",65942,"1,20,39,50,922.65",16659
18-Apr-22,EQ,"18,300.00","18,686.00","18,300.00","18,382.40","18,517.40","18,561.50","18,516.22","20,609.15","16,255.00",53773,"99,56,72,516.55",16480
13-Apr-22,EQ,"18,475.00","18,549.00","18,250.00","18,417.80","18,281.00","18,382.40","18,395.81","20,609.15","16,255.00",27330,"50,27,57,384.15",9531
12-Apr-22,EQ,"18,275.30","18,499.00","18,222.50","18,426.35","18,430.00","18,417.80","18,404.35","20,609.15","16,255.00",54900,"1,01,03,98,545.70",14631
11-Apr-22,EQ,"18,418.00","18,520.25","18,213.00","18,452.80","18,430.00","18,426.35","18,398.19","20,609.15","16,255.00",37669,"69,30,41,251.25",11592
08-Apr-22,EQ,"18,152.00","18,496.00","18,069.65","18,188.40","18,414.45","18,452.80","18,342.21","20,609.15","16,255.00",34281,"62,87,89,234.95",10208
07-Apr-22,EQ,"18,150.00","18,250.00","17,985.00","18,216.75","18,160.00","18,188.40","18,155.15","20,609.15","16,255.00",37487,"68,05,82,195.70",11648
